Country,中国,泰国,印度尼西亚,越南,柬埔寨,奥地利,比利时,瑞士,捷克,德国,丹麦,西班牙,爱沙尼亚,芬兰,法国,英国,希腊,爱尔兰,冰岛,意大利,卢森堡,荷兰,挪威,波兰,葡萄牙,斯洛伐克,斯洛文尼亚,瑞典,塞浦路斯,克罗地亚,立陶宛,拉脱维亚,俄罗斯,保加利亚,白俄罗斯,匈牙利,哈萨克斯坦,马其顿,黑山,罗马尼亚,塞尔维亚,土耳其,亚美尼亚,格鲁吉亚,科索沃,摩尔多瓦,乌克兰,吉尔吉斯,塔吉克斯坦,巴基斯坦,马耳他,乌拉圭,阿根廷,巴西,哥伦比亚,哥斯达黎加,多米尼加,厄瓜多尔,墨西哥,巴拿马,秘鲁,玻利维亚,危地马拉,洪都拉斯,巴拉圭,萨尔瓦多,南非
墨西哥,-0.3081190476190451,3.4356190476190482,-6.943880952380958,0.34169047619047377,2.4863071428571506,-1.2685714285714287,0.22959523809523988,1.1811428571428582,1.1266428571428566,-0.7063333333333329,-1.5374285714285718,-3.133500000000003,2.844766666666666,0.2163571428571426,-1.8707619047619066,1.9086666666666678,-1.4895714285714328,0.6891904761904749,-0.7608095238095196,0.2663095238095208,-1.6517142857142868,1.427952380952382,2.0168571428571442,0.6747142857142849,2.70061904761905,0.7423571428571419,3.289326190476191,-2.248833333333334,-2.944833333333335,-1.7638624999999994,-2.099085714285715,-0.05582142857142588,-2.1828095238095244,-3.0646666666666658,2.1775000000000024,-0.4116690476190508,7.4415714285714305,-3.189598809523805,-0.8510476190476194,-6.211071428571428,4.294452380952378,2.0144761904761874,5.408619047619045,-0.09085714285714347,-0.5245714285714258,4.969285714285718,3.787142857142859,1.754833333333338,1.9274857142857176,0.47650000000000015,-1.2494523809523808,2.5626333333333373,8.147714285714292,4.526738095238097,2.2328214285714347,0.2476428571428569,3.4368095238095266,6.938380952380956,4.5726666666666675,4.272809523809523,5.111571428571433,10.227464285714293,2.332611904761909,2.7531904761904777,4.199547619047621,6.511738095238098,-2.7438321428571473
巴拿马,0.3227619047619054,3.9364047619047593,-7.688380952380949,0.48783333333333107,3.289538095238096,-1.1885714285714284,0.20909523809523875,1.4309999999999983,1.2079999999999995,-0.7867619047619048,-1.9875714285714265,-3.476142857142856,2.6664238095238084,0.38257142857142745,-1.735190476190476,2.166095238095237,-1.9797142857142866,0.4360476190476177,-0.19252380952380757,0.14380952380952147,-1.5939999999999994,1.6653809523809522,1.785285714285714,0.9831428571428555,2.823190476190477,0.4037142857142849,3.4035190476190476,-2.482476190476189,-3.6207619047619026,-1.6059083333333313,-2.2265571428571436,-0.06178571428571242,-2.101952380952381,-3.930523809523806,2.3971428571428577,-1.5673190476190482,6.954142857142852,-1.5183238095238085,-1.072047619047618,-5.849285714285709,3.6528095238095197,1.5614761904761871,4.733047619047613,-0.3019999999999996,0.022428571428572037,6.101428571428568,4.247857142857141,2.427904761904762,2.0518476190476207,0.47778571428571387,-1.2192380952380948,3.6538904761904747,9.172999999999996,5.006238095238094,2.8202857142857147,0.8505714285714271,4.090095238095237,7.675666666666665,4.272809523809523,4.776952380952378,6.354142857142856,10.60628571428571,3.4923404761904777,3.1377619047619048,4.72390476190476,7.451952380952378,-2.793590476190478
秘鲁,0.8329047619047608,5.7586428571428545,-10.532714285714283,0.7079285714285696,7.4521952380952365,-1.6949999999999996,0.7798571428571439,2.536999999999997,1.520285714285714,-0.39114285714285857,-3.3715714285714267,-5.187285714285716,2.6695857142857142,0.8108571428571414,-2.7387142857142854,3.397428571428571,-3.0765714285714307,0.38757142857142807,1.0582857142857143,-0.5250000000000035,-2.5094285714285713,2.578142857142856,2.9948571428571444,2.2734285714285707,3.938285714285717,0.33814285714285713,3.837657142857145,-3.527571428571428,-6.1727142857142825,-2.3033761904761896,-2.1181142857142876,1.1109285714285733,-1.542714285714289,-6.2115714285714265,3.177857142857144,-1.8069714285714276,10.153285714285714,1.4940785714285671,-1.743142857142856,-7.3757142857142854,5.427999999999997,1.8048571428571407,6.022999999999996,-1.773285714285713,1.4141428571428563,9.671428571428567,6.525714285714282,5.005571428571424,3.279790476190479,1.3991428571428584,-1.5765714285714285,7.289757142857138,13.491,7.097714285714286,4.1309285714285675,1.7304285714285668,6.273285714285714,11.378714285714283,5.111571428571433,6.354142857142856,11.308285714285711,15.706142857142854,6.009764285714285,5.501714285714286,7.37042857142857,10.684857142857144,-2.0070023809523856
玻利维亚,0.04921428571428658,9.400071428571424,-18.070571428571423,0.3893571428571397,11.003314285714287,-3.1264285714285713,1.0702142857142884,4.062357142857138,2.4884999999999993,-0.999357142857144,-5.012999999999997,-8.368000000000002,5.214585714285713,1.0272857142857124,-5.0733571428571445,5.280999999999999,-4.29764285714286,0.8661428571428575,1.2539999999999998,-0.6328571428571488,-4.1855,4.270999999999998,5.362357142857144,2.6859285714285703,6.674357142857147,1.0881428571428586,6.286264285714286,-5.5004285714285714,-8.848428571428569,-3.6913047619047603,-4.092757142857146,1.4054642857142898,-3.3873571428571463,-7.975785714285707,5.715714285714286,-2.0649357142857117,18.454357142857138,-2.110850000000003,-2.4592142857142854,-12.943571428571424,9.675142857142854,3.7562857142857085,11.765857142857136,-1.5297142857142851,1.013785714285716,14.886428571428562,10.697499999999998,8.137,5.386123809523813,1.9562857142857162,-2.911571428571428,9.451042857142852,21.102785714285716,11.58307142857143,7.795357142857143,0.9486428571428497,9.727571428571428,19.106214285714284,10.227464285714293,10.60628571428571,15.706142857142854,28.07435714285713,7.9094428571428566,7.913857142857143,11.137214285714283,17.325214285714285,-4.964466666666671
危地马拉,1.650080952380953,2.9078416666666653,-6.005233333333333,1.017323809523811,4.353009285714285,-0.6657857142857143,-0.10594523809523806,1.2202214285714266,0.7028428571428574,-0.5448238095238104,-1.7882785714285705,-2.7915285714285716,0.7171147619047604,0.5614214285714282,-0.7337309523809519,1.659247619047619,-2.0529214285714303,-0.19567619047619184,0.7278952380952389,-0.2677738095238109,-1.0975642857142853,1.1578904761904756,-0.01524285714285798,0.7119357142857142,1.6394309523809536,-0.2057642857142861,2.0655802380952384,-1.9523595238095235,-3.8016023809523807,-0.373154702380951,-2.8888728571428586,0.09920714285714433,-1.546376190476191,-2.93402619047619,2.7326071428571446,-3.043250238095238,4.816942857142855,2.1291823809523787,-1.2663666666666669,-2.6529642857142846,0.8023261904761883,-0.004540476190479275,1.2558023809523768,0.16720000000000163,1.4898285714285726,6.0696071428571425,3.2015714285714285,2.3901380952380946,1.2803283333333348,0.04763214285714283,-0.5586833333333333,4.1408002380952365,7.573985714285713,3.86494761904762,3.5594678571428573,1.5695499999999987,2.994204761904763,6.064754761904761,2.332611904761909,3.4923404761904777,6.009764285714285,7.9094428571428566,5.156258809523813,2.263938095238096,4.513252380952381,6.001876190476191,-1.8425736904761927
洪都拉斯,0.36733333333333285,3.4630238095238095,-4.305619047619047,0.10516666666666565,4.024590476190474,-1.3378571428571435,0.7291904761904766,1.0608571428571414,0.825428571428572,0.30804761904761696,-2.1562857142857137,-2.6912857142857165,0.8331761904761924,0.517,-1.9479523809523809,0.9694761904761904,-0.8384285714285713,0.7069523809523828,0.956238095238094,-0.22666666666666724,-0.4291428571428571,1.2159047619047618,2.4751428571428584,1.5815714285714266,2.7526666666666677,0.38542857142857234,0.6670095238095265,-1.7219523809523807,-3.571095238095238,-1.486165476190478,-1.2586000000000046,1.5674285714285707,0.5372380952380943,-3.319047619047617,0.4014285714285723,1.4074476190476204,6.521714285714286,1.1666952380952353,-0.9256666666666666,-3.824285714285717,4.700333333333334,1.4218095238095243,3.883666666666668,-1.0331428571428576,0.6665714285714275,5.272142857142856,3.9557142857142864,3.8268095238095214,2.0852333333333344,1.6394285714285726,-1.1560476190476194,3.265552380952379,5.576857142857146,3.529190476190477,1.5476428571428553,-0.6661428571428591,4.021476190476194,5.653190476190478,2.7531904761904777,3.1377619047619048,5.501714285714286,7.913857142857143,2.263938095238096,6.586380952380955,2.8933809523809515,4.284190476190478,0.4131928571428556
巴拉圭,0.4607619047619047,3.3820952380952374,-7.5167619047619025,0.8935238095238072,4.168433333333333,-1.205714285714285,0.2431904761904774,1.5712857142857124,1.185999999999999,-0.9228095238095237,-2.025142857142855,-3.6108571428571423,2.657776190476191,0.5237142857142845,-1.4946666666666686,2.740761904761905,-2.453000000000004,-0.007190476190479497,-0.16004761904761688,0.09190476190476046,-2.258714285714285,1.8964761904761902,1.299857142857144,1.0427142857142842,2.875666666666668,-0.18257142857142888,3.7623952380952375,-2.7170952380952373,-4.376523809523807,-1.6223047619047601,-3.1056857142857135,-0.15628571428571292,-2.4989047619047624,-4.2590476190476165,3.2021428571428574,-2.4409952380952387,6.724714285714283,-0.9402904761904788,-1.4926666666666655,-5.709285714285713,3.1734761904761872,1.4193809523809489,4.638952380952377,-0.5154285714285696,-0.046571428571428174,6.138571428571426,4.20642857142857,2.137238095238094,2.125576190476193,0.44771428571428473,-1.2963333333333324,4.391566666666663,10.369571428571422,5.114619047619047,3.4331428571428564,1.2625714285714265,3.711619047619046,7.842761904761901,4.199547619047621,4.72390476190476,7.37042857142857,11.137214285714283,4.513252380952381,2.8933809523809515,7.250666666666664,7.554619047619046,-2.830776190476195
萨尔瓦多,0.7653809523809516,6.296404761904761,-12.982666666666665,0.997833333333331,5.3905380952380995,-1.8121428571428584,0.5019523809523825,2.5295714285714266,1.9151428571428568,-1.159619047619048,-3.4861428571428554,-5.788285714285717,3.9424238095238087,0.6025714285714269,-2.5173333333333345,3.6596666666666655,-3.749000000000003,0.4839047619047602,0.10247619047619264,0.02380952380951774,-2.792571428571429,2.5789523809523813,3.253142857142859,1.8617142857142843,4.247476190476193,1.1801428571428572,5.447804761904764,-3.8203333333333327,-6.113619047619046,-2.4046702380952363,-3.094128571428572,0.510285714285718,-3.364095238095239,-7.108666666666662,4.010714285714287,-2.5344619047619035,12.026999999999996,-1.6371095238095268,-1.8270476190476181,-10.595714285714282,5.986380952380951,2.5471904761904725,7.668761904761901,-0.5462857142857134,0.7224285714285715,10.366428571428571,6.58,3.1471904761904783,3.2377761904761937,0.6517142857142858,-1.7435238095238097,6.663961904761902,15.227285714285717,8.137666666666666,3.6726428571428587,1.5891428571428534,6.283666666666669,12.506380952380951,6.511738095238098,7.451952380952378,10.684857142857144,17.325214285714285,6.001876190476191,4.284190476190478,7.554619047619046,13.171238095238092,-4.59948333333334
南非,-0.2484142857142862,-1.531204761904763,4.659530952380959,-0.4904666666666682,0.5077716666666673,0.36917857142857297,0.43074285714285593,-0.4124357142857149,-0.7179738095238111,1.2462047619047618,0.5218261904761899,1.7510880952380978,-2.2786076190476217,0.013447619047620013,0.020254761904763805,-1.2382952380952397,1.426016666666671,-0.05199047619047484,1.3731642857142872,-0.6555952380952379,0.8199333333333356,-0.6499857142857153,-0.008030952380955964,0.31739761904761954,-1.1460738095238137,-0.16928333333333614,-3.4280683333333384,1.3959904761904771,1.2631976190476204,0.5391427976190494,2.321368095238096,1.0906071428571409,2.777733333333337,2.0403666666666713,-2.2161309523809543,2.2179002380952384,-3.2868595238095324,3.4933265476190565,0.31650952380952474,4.368833333333343,-0.7813738095238141,-0.9259119047619061,-2.6137785714285773,-1.1774976190476198,1.000385714285715,-2.383833333333337,-1.2961904761904777,1.4946833333333351,-0.5305664285714309,0.7634988095238124,0.48344523809523937,-0.5451704761904786,-5.367152380952388,-2.7583761904761936,-1.2301452380952382,-0.7148595238095243,-1.0555976190476206,-3.732492857142861,-2.7438321428571473,-2.793590476190478,-2.0070023809523856,-4.964466666666671,-1.8425736904761927,0.4131928571428556,-2.830776190476195,-4.59948333333334,3.8245818253968342
