Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
罗马尼亚,29.3,29.4,30.2,29.9,30,29.8,39.6,37.5,36.4,35.6,35.5,35.9,36.5,36.9,36
塞尔维亚,,,32,32.8,35.5,36.5,29.7,28.7,27.6,28,29,,,29,
土耳其,,,41.4,42.2,41.3,42.6,39.6,38.4,39,39,38.8,40,40.2,40.2,41.2
亚美尼亚,,35.4,34.8,33,37.5,36,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5
格鲁吉亚,40.5,39.6,37.2,36.7,36.2,37.4,36.9,38.1,38.5,38.2,39.5,39.6,39,38.6,37.6
科索沃,,,,29,,31.2,30.3,,,31.8,33.3,27.8,29,26.3,27.3
摩尔多瓦,36.4,38,35.8,34.9,35,36.3,35.4,34.4,34.7,32.9,32.1,30.6,29.2,28.5,26.8
乌克兰,,,29,28.7,28.9,29,29.8,27,26.6,25.3,24.8,24.6,24.7,24.6,24
乌兹别克斯坦,36.1,,33,35.3,,,,,,,,,,,
吉尔吉斯,31,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8
塔吉克斯坦,,,,32.7,33.6,,,32.2,,30.8,,,30.52,30.41,30.76
马尔代夫,,,41.3,,37.37,,,,,38.4,,,,,
不丹,,,,40.9,,,,38.1,,,,,38.8,,
印度,,,,,34.4,,,,,35.4,,35.7,,,
斯里兰卡,,,41,,,,40.3,,,36.4,,,39.2,,
巴基斯坦,,30.4,,,32.5,32.7,,31.6,,,29.8,30.9,,30.7,
孟加拉,33.4,,,,,33.2,,,,,32.1,,,,
尼泊尔,,,,43.8,,,,,,,32.8,,,,
加拿大,33.3,,,,33.7,,,33.8,,,33.6,,,34,
美国,40.4,,,,40.5,,,41.1,,,40.4,,,41,
以色列,,38.9,,,,41.7,,41,,,42.6,,41.4,,39.8
马耳他,,,,,,,28,29.2,29,30.2,29,29.1,29.4,28.8,29
阿尔及利亚,,,,,,,,,,,,27.6,,,
伊朗,,,,,,43.6,44.8,,,42.1,,,,37.4,38.8
伊拉克,,,,,,,28.6,,,,,,29.5,,
约旦,,,37,,,,33.9,,32.6,,33.7,,,,
黎巴嫩,,,,,,,,,,,,31.8,,,
突尼斯,40.8,,,,,37.7,,,,,35.8,,,,
吉布提,,,40,,,,,,,,,,45.1,44.1,
埃及,,,,,31.8,,,,31.1,,31.5,,29.8,,
摩洛哥,40.6,,,,,,40.7,40.72,,,,,,39.5,
叙利亚,,,,,35.8,,,,,,,,,,
约旦河西岸和加沙地带,,,,,33.97,34.72,33.96,35.61,,34.46,,,,,
也门,,,,,,34.7,,,,,,,,,36.7
智利,52.8,,,51.5,,,48.2,,,49,,47.6,,47.3,
乌拉圭,44.39,46.17,46.66,46.22,47.13,45.87,45.9,46.4,45.1,45.6,44.5,42.2,39.9,40.5,40.1
阿根廷,51.1,53.3,53.8,50.7,48.3,47.7,46.6,46.3,44.5,43.9,43,42.3,41.2,41,41.4
巴西,,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54,53.7,,52.9,52.7,52.8,51.5
哥伦比亚,58.7,57.2,55.8,53.4,54.8,53.7,60.08,59.37,55.5,54.4,54.7,53.5,52.7,52.8,52.7
哥斯达黎加,47.4,51.6,51.9,49.3,48.3,47.5,49.4,49.3,48.7,50.6,48.2,48.7,48.6,49.3,48.6
多米尼加,51.5,50,49.7,52.1,52.1,50,52,48.9,48.1,48.9,47.3,47.7,46.1,47.7,44.3
厄瓜多尔,56.4,,,53.4,53.9,53.1,52.2,53.3,49.7,48.4,48.7,45.9,46.1,46.9,45
牙买加,,,48.3,,45.5,,,,,,,,,,
墨西哥,51.4,,49,,48.3,48.9,47.7,,44.6,,45.3,,45.4,,45.8
巴拿马,56.8,56.9,56.2,55.8,54.8,53.8,54.6,52.7,52.7,51.8,51.6,51.3,51.7,51.5,50.5
秘鲁,49.1,51.3,53.6,53.1,49.9,50.4,50.3,50,47.5,47,45.5,44.7,44.4,43.9,43.2
委内瑞拉,,48.2,50.6,50.4,49.8,52.4,46.9,,,,,,,,
玻利维亚,61.6,57.4,59.3,,55,58.5,56.7,54.5,50.8,49.2,,46.1,46.6,47.6,47.8
危地马拉,54.2,,56.94,54.1,50.73,,54.6,,,,,52.35,,,48.3
洪都拉斯,,55.6,55.7,58.1,58.1,59.5,57.5,55.8,55.5,51.3,53.1,56.2,56.1,52.6,50.4
尼加拉瓜,,52.9,,,,48.8,,,,43.9,,,,,46.2
巴拉圭,,54.6,57.3,54.9,52.3,51.4,53,53,50.7,49.1,51,52.3,47.6,47.9,50.7
萨尔瓦多,51.5,51.4,51.9,50.4,47.8,48.5,45.7,45.2,46.9,45.8,43.5,42.3,41.8,43.4,41.6
海地共和国,,59.48,,,,,,,,,,,41.1,,
安哥拉,52,,,,,,,,42.7,,,,,,
博茨瓦纳,,,64.7,,,,,,,60.5,,,,,
加蓬,,,,,,42.2,,,,,,,,,
毛里求斯,,,,,,,35.7,,,,,,35.8,,
纳米比亚,,,,63.3,,,,,,61,,,,,
塞舌尔,,,,,,,42.77,,,,,,,46.8,
南非,57.8,,,,,64.8,64.79,,63,,63.4,63.38,,,63
科特迪瓦,,,41.3,,,,,,43.2,,,,,,
喀麦隆,,42.1,,,,,,42.8,,,,,,,46.6
刚果共和国,,,,,,47.3,,,,,,48.9,,,
佛得角,,52.5,,,,,,47.2,,,,,,,
加纳,,,,,,42.8,,,,,,,42.4,,
莱索托,,,51.6,,,,,,,,54.2,,,,
毛里塔尼亚,39,,,,40.2,,,,35.7,,,,,,32.6
尼日利亚,,,,40.1,,,,,,43,,,,,
苏丹,,,,,,,,,,35.4,,,,,
塞内加尔,,41.2,,,,39.2,,,,,,40.3,,,
圣多美和普林西比,32.1,,,,,,,,,,30.8,,,,
斯威士兰,53.1,,,,,,,,,51.5,,,,,
赞比亚,,,42.1,,54.3,,54.6,,,,55.6,,,,
布隆迪,,,,,,,33.4,,,,,,,38.6,
贝宁,,,,38.6,,,,,,,,43.4,,,
布吉纳法索,,,,43.3,,,,,,39.8,,,,,35.3
中非,,,,43.6,,,,,56.2,,,,,,
科摩罗,,,,,55.9,,,,,,,,,45.3,
埃塞俄比亚,,,,,29.8,,,,,,33.2,,,,
几内亚,,,43,,,,,39.4,,,,,33.7,,
冈比亚,,,,47.3,,,,,,,43.6,,,,
几内亚比绍,,,35.6,,,,,,,,50.7,,,,
肯尼亚,,,,,,46.5,,,,,,,,,
利比里亚,,,,,,,,36.5,,,,,,,33.2
马达加斯加,,47.4,,,,39.9,,,,,42.4,,42.6,,
马里,,39.9,,,,,38.9,,,33,,,,,
莫桑比克,,,47,,,,,,45.6,,,,,,54
马拉维,,,,,39.9,,,,,,45.5,,,,
尼日尔,,,,,,44.4,,37.3,,,,31.5,,,34.3
卢旺达,48.5,,,,,52,,,,,47.2,,,45.1,
塞拉利昂,,,,40.2,,,,,,,,34,,,
南苏丹,,,,,,,,,,46.3,,,,,
乍得,,,,39.8,,,,,,,,43.3,,,
多哥,,,,,,,42.2,,,,,46,,,
坦桑尼亚,37.3,,,,,,,40.3,,,,37.8,,,
乌干达,,,45.2,,,42.9,,,,44.2,,,41,,
刚果（金）,,,,,42.2,,,,,,,,42.1,,
津巴布韦,,,,,,,,,,,,43.2,,,
